sentence1,sentence2,similarity
He reads a book once every week.,I love eating pizza on weekends.,0.2528264
Watching movies at night is fun.,Technology is evolving at a rapid pace.,0.096154675
Artificial intelligence will shape the future of humanity.,I love eating pizza on weekends.,-0.008260809
Artificial intelligence will shape the future of humanity.,He reads a book once every week.,0.08552287
Artificial intelligence will shape the future of humanity.,The quick brown fox jumps over the lazy dog.,-0.043105498
He reads a book once every week.,Artificial intelligence will shape the future of humanity.,0.08552287
He reads a book once every week.,The weather today is gloomy and cold.,0.03999748
Technology is evolving at a rapid pace.,She enjoys playing tennis in the park.,-0.024514414
He reads a book once every week.,The weather today is gloomy and cold.,0.03999748
I am learning to play the guitar.,She enjoys playing tennis in the park.,0.2407835
I love eating pizza on weekends.,He reads a book once every week.,0.2528264
Technology is evolving at a rapid pace.,Technology is evolving at a rapid pace.,1.0
Technology is evolving at a rapid pace.,I love eating pizza on weekends.,0.040858172
Watching movies at night is fun.,I am learning to play the guitar.,0.19173932
She enjoys playing tennis in the park.,Watching movies at night is fun.,0.09024381
I am learning to play the guitar.,Technology is evolving at a rapid pace.,0.06758739
He reads a book once every week.,The weather today is gloomy and cold.,0.03999748
The car broke down on the way to the store.,The quick brown fox jumps over the lazy dog.,0.1796973
The weather today is gloomy and cold.,The car broke down on the way to the store.,0.051681776
Technology is evolving at a rapid pace.,Artificial intelligence will shape the future of humanity.,0.48421314
I love eating pizza on weekends.,The weather today is gloomy and cold.,0.10265192
Artificial intelligence will shape the future of humanity.,I love eating pizza on weekends.,-0.008260809
Technology is evolving at a rapid pace.,The weather today is gloomy and cold.,-0.003181016
The weather today is gloomy and cold.,He reads a book once every week.,0.03999748
I am learning to play the guitar.,She enjoys playing tennis in the park.,0.2407835
Artificial intelligence will shape the future of humanity.,He reads a book once every week.,0.08552287
He reads a book once every week.,Artificial intelligence will shape the future of humanity.,0.08552287
Watching movies at night is fun.,Artificial intelligence will shape the future of humanity.,0.06646734
The car broke down on the way to the store.,The quick brown fox jumps over the lazy dog.,0.1796973
Technology is evolving at a rapid pace.,Watching movies at night is fun.,0.096154675
The quick brown fox jumps over the lazy dog.,Watching movies at night is fun.,0.017163107
He reads a book once every week.,I am learning to play the guitar.,0.13992234
Watching movies at night is fun.,Watching movies at night is fun.,1.0000001
I am learning to play the guitar.,Artificial intelligence will shape the future of humanity.,0.078198984
Artificial intelligence will shape the future of humanity.,The car broke down on the way to the store.,-0.040141206
She enjoys playing tennis in the park.,The car broke down on the way to the store.,-0.0155296745
She enjoys playing tennis in the park.,Technology is evolving at a rapid pace.,-0.024514414
The car broke down on the way to the store.,I love eating pizza on weekends.,0.02380285
Artificial intelligence will shape the future of humanity.,The weather today is gloomy and cold.,0.037796233
The quick brown fox jumps over the lazy dog.,Watching movies at night is fun.,0.017163107
I love eating pizza on weekends.,Watching movies at night is fun.,0.38121092
The quick brown fox jumps over the lazy dog.,The quick brown fox jumps over the lazy dog.,1.0
Artificial intelligence will shape the future of humanity.,Artificial intelligence will shape the future of humanity.,0.9999999
He reads a book once every week.,The weather today is gloomy and cold.,0.03999748
The weather today is gloomy and cold.,I am learning to play the guitar.,0.062273476
I am learning to play the guitar.,Watching movies at night is fun.,0.19173932
The car broke down on the way to the store.,The quick brown fox jumps over the lazy dog.,0.1796973
Watching movies at night is fun.,I am learning to play the guitar.,0.19173932
Technology is evolving at a rapid pace.,The weather today is gloomy and cold.,-0.003181016
She enjoys playing tennis in the park.,Watching movies at night is fun.,0.09024381
The quick brown fox jumps over the lazy dog.,The quick brown fox jumps over the lazy dog.,1.0
The weather today is gloomy and cold.,The weather today is gloomy and cold.,0.99999946
She enjoys playing tennis in the park.,The car broke down on the way to the store.,-0.0155296745
I love eating pizza on weekends.,He reads a book once every week.,0.2528264
Technology is evolving at a rapid pace.,He reads a book once every week.,0.04724406
The quick brown fox jumps over the lazy dog.,Artificial intelligence will shape the future of humanity.,-0.043105498
I am learning to play the guitar.,Watching movies at night is fun.,0.19173932
Watching movies at night is fun.,I love eating pizza on weekends.,0.38121092
He reads a book once every week.,The weather today is gloomy and cold.,0.03999748
The car broke down on the way to the store.,Technology is evolving at a rapid pace.,-0.031243227
Artificial intelligence will shape the future of humanity.,He reads a book once every week.,0.08552287
The weather today is gloomy and cold.,I am learning to play the guitar.,0.062273476
The weather today is gloomy and cold.,I am learning to play the guitar.,0.062273476
She enjoys playing tennis in the park.,She enjoys playing tennis in the park.,0.9999996
Watching movies at night is fun.,Technology is evolving at a rapid pace.,0.09615472
She enjoys playing tennis in the park.,The quick brown fox jumps over the lazy dog.,0.052815244
The weather today is gloomy and cold.,He reads a book once every week.,0.03999748
The weather today is gloomy and cold.,I am learning to play the guitar.,0.062273476
The weather today is gloomy and cold.,Technology is evolving at a rapid pace.,-0.003181016
Watching movies at night is fun.,The weather today is gloomy and cold.,0.15637693
I love eating pizza on weekends.,He reads a book once every week.,0.2528264
I love eating pizza on weekends.,I love eating pizza on weekends.,1.0
He reads a book once every week.,Technology is evolving at a rapid pace.,0.04724404
The car broke down on the way to the store.,The weather today is gloomy and cold.,0.051681776
She enjoys playing tennis in the park.,Artificial intelligence will shape the future of humanity.,-0.07436156
She enjoys playing tennis in the park.,The quick brown fox jumps over the lazy dog.,0.052815244
The quick brown fox jumps over the lazy dog.,Technology is evolving at a rapid pace.,0.039232768
The car broke down on the way to the store.,I am learning to play the guitar.,0.007824411
He reads a book once every week.,The quick brown fox jumps over the lazy dog.,0.021716183
The car broke down on the way to the store.,The quick brown fox jumps over the lazy dog.,0.1796973
I love eating pizza on weekends.,I love eating pizza on weekends.,1.0
The car broke down on the way to the store.,Technology is evolving at a rapid pace.,-0.031243227
The quick brown fox jumps over the lazy dog.,The weather today is gloomy and cold.,0.07144477
She enjoys playing tennis in the park.,She enjoys playing tennis in the park.,0.9999996
I am learning to play the guitar.,I am learning to play the guitar.,1.0000002
He reads a book once every week.,The weather today is gloomy and cold.,0.03999748
Watching movies at night is fun.,Technology is evolving at a rapid pace.,0.096154675
The car broke down on the way to the store.,The quick brown fox jumps over the lazy dog.,0.1796973
She enjoys playing tennis in the park.,She enjoys playing tennis in the park.,0.9999996
The weather today is gloomy and cold.,The car broke down on the way to the store.,0.051681776
Technology is evolving at a rapid pace.,The car broke down on the way to the store.,-0.03124319
Technology is evolving at a rapid pace.,He reads a book once every week.,0.04724406
Artificial intelligence will shape the future of humanity.,I am learning to play the guitar.,0.078198984
He reads a book once every week.,Technology is evolving at a rapid pace.,0.04724406
Watching movies at night is fun.,Technology is evolving at a rapid pace.,0.096154675
Artificial intelligence will shape the future of humanity.,Watching movies at night is fun.,0.06646734
I am learning to play the guitar.,The car broke down on the way to the store.,0.007824411
He reads a book once every week.,Artificial intelligence will shape the future of humanity.,0.08552287
I love eating pizza on weekends.,She enjoys playing tennis in the park.,0.1050456
Artificial intelligence will shape the future of humanity.,Watching movies at night is fun.,0.06646734
I love eating pizza on weekends.,I am learning to play the guitar.,0.15301645
I am learning to play the guitar.,The weather today is gloomy and cold.,0.062273458
I love eating pizza on weekends.,I love eating pizza on weekends.,1.0
He reads a book once every week.,She enjoys playing tennis in the park.,0.036162913
He reads a book once every week.,The quick brown fox jumps over the lazy dog.,0.021716183
The quick brown fox jumps over the lazy dog.,The car broke down on the way to the store.,0.1796973
He reads a book once every week.,She enjoys playing tennis in the park.,0.036162913
Artificial intelligence will shape the future of humanity.,The quick brown fox jumps over the lazy dog.,-0.043105498
Watching movies at night is fun.,The quick brown fox jumps over the lazy dog.,0.017163107
The weather today is gloomy and cold.,The weather today is gloomy and cold.,0.99999946
She enjoys playing tennis in the park.,She enjoys playing tennis in the park.,0.9999994
The car broke down on the way to the store.,Artificial intelligence will shape the future of humanity.,-0.040141206
Technology is evolving at a rapid pace.,The car broke down on the way to the store.,-0.03124319
Technology is evolving at a rapid pace.,I am learning to play the guitar.,0.06758739
I am learning to play the guitar.,The car broke down on the way to the store.,0.007824411
Artificial intelligence will shape the future of humanity.,Watching movies at night is fun.,0.06646734
Technology is evolving at a rapid pace.,Artificial intelligence will shape the future of humanity.,0.48421314
Technology is evolving at a rapid pace.,She enjoys playing tennis in the park.,-0.024514383
Watching movies at night is fun.,The car broke down on the way to the store.,0.012633104
Artificial intelligence will shape the future of humanity.,Artificial intelligence will shape the future of humanity.,0.9999999
She enjoys playing tennis in the park.,Technology is evolving at a rapid pace.,-0.02451434
Technology is evolving at a rapid pace.,Artificial intelligence will shape the future of humanity.,0.48421314
I am learning to play the guitar.,Technology is evolving at a rapid pace.,0.06758744
He reads a book once every week.,Watching movies at night is fun.,0.24844441
Technology is evolving at a rapid pace.,Technology is evolving at a rapid pace.,0.9999999
Watching movies at night is fun.,Artificial intelligence will shape the future of humanity.,0.06646734
Technology is evolving at a rapid pace.,Technology is evolving at a rapid pace.,0.9999999
Technology is evolving at a rapid pace.,I love eating pizza on weekends.,0.040858172
I love eating pizza on weekends.,Technology is evolving at a rapid pace.,0.040858183
I love eating pizza on weekends.,I love eating pizza on weekends.,1.0
He reads a book once every week.,Watching movies at night is fun.,0.24844441
He reads a book once every week.,I am learning to play the guitar.,0.13992234
The car broke down on the way to the store.,The quick brown fox jumps over the lazy dog.,0.1796973
She enjoys playing tennis in the park.,He reads a book once every week.,0.0361629
The car broke down on the way to the store.,Artificial intelligence will shape the future of humanity.,-0.040141206
Watching movies at night is fun.,The car broke down on the way to the store.,0.012633104
Artificial intelligence will shape the future of humanity.,The weather today is gloomy and cold.,0.037796233
Technology is evolving at a rapid pace.,Artificial intelligence will shape the future of humanity.,0.48421314
He reads a book once every week.,The weather today is gloomy and cold.,0.03999748
I am learning to play the guitar.,The quick brown fox jumps over the lazy dog.,0.024747502
She enjoys playing tennis in the park.,The quick brown fox jumps over the lazy dog.,0.052815244
The quick brown fox jumps over the lazy dog.,The car broke down on the way to the store.,0.1796973
He reads a book once every week.,Artificial intelligence will shape the future of humanity.,0.08552287
I am learning to play the guitar.,I am learning to play the guitar.,1.0000002
The quick brown fox jumps over the lazy dog.,Artificial intelligence will shape the future of humanity.,-0.043105498
Technology is evolving at a rapid pace.,The weather today is gloomy and cold.,-0.0031810412
The quick brown fox jumps over the lazy dog.,She enjoys playing tennis in the park.,0.05281522
He reads a book once every week.,I love eating pizza on weekends.,0.2528264
The car broke down on the way to the store.,I love eating pizza on weekends.,0.02380285
I am learning to play the guitar.,Artificial intelligence will shape the future of humanity.,0.078198984
The quick brown fox jumps over the lazy dog.,She enjoys playing tennis in the park.,0.05281522
She enjoys playing tennis in the park.,I am learning to play the guitar.,0.2407835
The weather today is gloomy and cold.,Artificial intelligence will shape the future of humanity.,0.037796233
Artificial intelligence will shape the future of humanity.,I am learning to play the guitar.,0.078198984
Technology is evolving at a rapid pace.,Watching movies at night is fun.,0.09615472
He reads a book once every week.,The quick brown fox jumps over the lazy dog.,0.021716183
Artificial intelligence will shape the future of humanity.,Technology is evolving at a rapid pace.,0.48421314
I love eating pizza on weekends.,The car broke down on the way to the store.,0.02380285
I am learning to play the guitar.,Artificial intelligence will shape the future of humanity.,0.078198984
She enjoys playing tennis in the park.,She enjoys playing tennis in the park.,0.9999994
The weather today is gloomy and cold.,The weather today is gloomy and cold.,0.99999946
I am learning to play the guitar.,She enjoys playing tennis in the park.,0.24078348
Technology is evolving at a rapid pace.,Technology is evolving at a rapid pace.,0.9999998
Technology is evolving at a rapid pace.,The weather today is gloomy and cold.,-0.0031810412
Artificial intelligence will shape the future of humanity.,I am learning to play the guitar.,0.078198984
Technology is evolving at a rapid pace.,I am learning to play the guitar.,0.06758744
She enjoys playing tennis in the park.,Artificial intelligence will shape the future of humanity.,-0.07436156
Watching movies at night is fun.,I am learning to play the guitar.,0.19173932
Technology is evolving at a rapid pace.,The quick brown fox jumps over the lazy dog.,0.039232742
The quick brown fox jumps over the lazy dog.,The quick brown fox jumps over the lazy dog.,1.0
The weather today is gloomy and cold.,Technology is evolving at a rapid pace.,-0.003181016
The quick brown fox jumps over the lazy dog.,Artificial intelligence will shape the future of humanity.,-0.043105498
Watching movies at night is fun.,The quick brown fox jumps over the lazy dog.,0.017163107
I love eating pizza on weekends.,I am learning to play the guitar.,0.15301645
Artificial intelligence will shape the future of humanity.,Artificial intelligence will shape the future of humanity.,0.9999999
I am learning to play the guitar.,He reads a book once every week.,0.13992234
He reads a book once every week.,Watching movies at night is fun.,0.24844441
